* These two reactions were added to the model
METt2rpp	1.0 met_L_p + 1.0 h_p <==> 1.0 met_L_c + 1.0 h_c	(rxn manually added to the model)	
GLNt2rpp	1.0 gln_L_p + 1.0 h_p <==> 1.0 gln_L_c + 1.0 h_c	(rxn manually added to the model)	

12DGR120tipp	1.0 12dgr120_p --> 1.0 12dgr120_c	
12DGR140tipp	1.0 12dgr140_p --> 1.0 12dgr140_c	
12DGR141tipp	1.0 12dgr141_p --> 1.0 12dgr141_c	
12DGR160tipp	1.0 12dgr160_p --> 1.0 12dgr160_c	
12DGR161tipp	1.0 12dgr161_p --> 1.0 12dgr161_c	
12DGR180tipp	1.0 12dgr180_p --> 1.0 12dgr180_c	
12DGR181tipp	1.0 12dgr181_p --> 1.0 12dgr181_c	
12PPDRtex	1.0 12ppd_R_e <==> 1.0 12ppd_R_p	(b0241 or b0929 or b1377 or b2215)
12PPDRtpp	1.0 12ppd_R_p <==> 1.0 12ppd_R_c	
12PPDStex	1.0 12ppd_S_e <==> 1.0 12ppd_S_p	(b0241 or b0929 or b1377 or b2215)
12PPDStpp	1.0 12ppd_S_p <==> 1.0 12ppd_S_c	
14GLUCANabcpp	1.0 14glucan_p + 1.0 atp_c + 1.0 h2o_c --> 1.0 h_c + 1.0 pi_c + 1.0 14glucan_c + 1.0 adp_c	(b4034 and b4033 and b4032 and b4035)
14GLUCANtexi	1.0 14glucan_e --> 1.0 14glucan_p	b4036
23CAMPtex	1.0 23camp_e <==> 1.0 23camp_p	(b0241 or b0929 or b1377 or b2215)
23CCMPtex	1.0 23ccmp_e <==> 1.0 23ccmp_p	(b0241 or b0929 or b1377 or b2215)
23CGMPtex	1.0 23cgmp_e <==> 1.0 23cgmp_p	(b0241 or b0929 or b1377 or b2215)
23CUMPtex	1.0 23cump_e <==> 1.0 23cump_p	(b0241 or b0929 or b1377 or b2215)
23DAPPAt2pp	1.0 23dappa_p + 1.0 h_p --> 1.0 h_c + 1.0 23dappa_c	
23DAPPAtex	1.0 23dappa_e <==> 1.0 23dappa_p	(b0241 or b0929 or b1377 or b2215)
23PDE2pp	1.0 23cump_p + 1.0 h2o_p --> 1.0 3ump_p + 1.0 h_p	b4213
23PDE4pp	1.0 23ccmp_p + 1.0 h2o_p --> 1.0 3cmp_p + 1.0 h_p	b4213
23PDE7pp	1.0 h2o_p + 1.0 23camp_p --> 1.0 3amp_p + 1.0 h_p	b4213
23PDE9pp	1.0 h2o_p + 1.0 23cgmp_p --> 1.0 3gmp_p + 1.0 h_p	b4213
26DAHtex	1.0 26dap_M_e <==> 1.0 26dap_M_p	(b0241 or b0929 or b1377 or b2215)
2AGPA120tipp	1.0 2ddecg3p_p --> 1.0 2ddecg3p_c	b2835
2AGPA140tipp	1.0 2tdecg3p_p --> 1.0 2tdecg3p_c	b2835
2AGPA141tipp	1.0 2tdec7eg3p_p --> 1.0 2tdec7eg3p_c	b2835
2AGPA160tipp	1.0 2hdecg3p_p --> 1.0 2hdecg3p_c	b2835
2AGPA161tipp	1.0 2hdec9eg3p_p --> 1.0 2hdec9eg3p_c	b2835
2AGPA180tipp	1.0 2odecg3p_p --> 1.0 2odecg3p_c	b2835
2AGPA181tipp	1.0 2odec11eg3p_p --> 1.0 2odec11eg3p_c	b2835
2AGPE120tipp	1.0 2agpe120_p --> 1.0 2agpe120_c	b2835
2AGPE140tipp	1.0 2agpe140_p --> 1.0 2agpe140_c	b2835
2AGPE141tipp	1.0 2agpe141_p --> 1.0 2agpe141_c	b2835
2AGPE160tipp	1.0 2agpe160_p --> 1.0 2agpe160_c	b2835
2AGPE161tipp	1.0 2agpe161_p --> 1.0 2agpe161_c	b2835
2AGPE180tipp	1.0 2agpe180_p --> 1.0 2agpe180_c	b2835
2AGPE181tipp	1.0 2agpe181_p --> 1.0 2agpe181_c	b2835
2AGPEAT120	1.0 2agpe120_c + 1.0 atp_c + 1.0 ddca_c --> 1.0 ppi_c + 1.0 amp_c + 1.0 pe120_c	b2836
2AGPEAT140	1.0 2agpe140_c + 1.0 atp_c + 1.0 ttdca_c --> 1.0 pe140_c + 1.0 amp_c + 1.0 ppi_c	b2836
2AGPEAT141	1.0 ttdcea_c + 1.0 2agpe141_c + 1.0 atp_c --> 1.0 pe141_c + 1.0 amp_c + 1.0 ppi_c	b2836
2AGPEAT160	1.0 hdca_c + 1.0 2agpe160_c + 1.0 atp_c --> 1.0 pe160_c + 1.0 amp_c + 1.0 ppi_c	b2836
2AGPEAT161	1.0 2agpe161_c + 1.0 atp_c + 1.0 hdcea_c --> 1.0 pe161_c + 1.0 amp_c + 1.0 ppi_c	b2836
2AGPEAT180	1.0 2agpe180_c + 1.0 ocdca_c + 1.0 atp_c --> 1.0 pe180_c + 1.0 amp_c + 1.0 ppi_c	b2836
2AGPEAT181	1.0 2agpe181_c + 1.0 atp_c + 1.0 ocdcea_c --> 1.0 ppi_c + 1.0 amp_c + 1.0 pe181_c	b2836
2AGPG120tipp	1.0 2agpg120_p --> 1.0 2agpg120_c	b2835
2AGPG140tipp	1.0 2agpg140_p --> 1.0 2agpg140_c	b2835
2AGPG141tipp	1.0 2agpg141_p --> 1.0 2agpg141_c	b2835
2AGPG160tipp	1.0 2agpg160_p --> 1.0 2agpg160_c	b2835
2AGPG161tipp	1.0 2agpg161_p --> 1.0 2agpg161_c	b2835
2AGPG180tipp	1.0 2agpg180_p --> 1.0 2agpg180_c	b2835
2AGPG181tipp	1.0 2agpg181_p --> 1.0 2agpg181_c	b2835
2AGPGAT120	1.0 ddca_c + 1.0 2agpg120_c + 1.0 atp_c --> 1.0 ppi_c + 1.0 amp_c + 1.0 pg120_c	b2836
2AGPGAT140	1.0 ttdca_c + 1.0 2agpg140_c + 1.0 atp_c --> 1.0 ppi_c + 1.0 amp_c + 1.0 pg140_c	b2836
2AGPGAT141	1.0 2agpg141_c + 1.0 atp_c + 1.0 ttdcea_c --> 1.0 ppi_c + 1.0 amp_c + 1.0 pg141_c	b2836
