id	name	UNCONSTRAINED	MIRIAM	COMPOSITION	InChI	compartment	replacement_id	DB LINK	SMILES
(2S)-2-amino-3-oxo-4-phosphonooxybutanoate	(2S)-2-amino-3-oxo-4-phosphonooxybutanoate	false	NULL	NULL	NULL	c	r736	"(PUBCHEM ""441260"" NIL |hopkinso| 3317071019 NIL NIL)"	C(C(=O)C(N)C(=O)O)OP(=O)(O)O
(E)-3-(methoxycarbonyl)pent-2-enedioate	(E)-3-(methoxycarbonyl)pent-2-enedioate	false	NULL	NULL	NULL	c	r803	"(PUBCHEM ""891"" NIL |keseler| 3342286482 NIL NIL)$(LIGAND-CPD ""C11514"" NIL |keseler| 3342286482 NIL NIL)"	C(=O)(O)C=C(CC(=O)O)C(=O)OC
(E)-4-hydroxy-3-methylbut 2-en-1-yl diphosphate	(E)-4-hydroxy-3-methylbut 2-en-1-yl diphosphate	false	NULL	NULL	NULL	c	r814	NULL	CC(=CCOP(=O)(O)OP(=O)(O)O)CO
(KDO)-lipid IVA	(KDO)-lipid IVA	false	NULL	NULL	NULL	c	r825	"(LIGAND-CPD ""C06024"" NIL |kr| 3346617699 NIL NIL)"	CCCCCCCCCCCC(O)CC(=O)NC3(C(OC(COC2(OC(COC1(CC(O)C(O)C(O1)C(O)CO)C(=O)O)C(OP(=O)(O)O)C(OC(=O)CC(O)CCCCCCCCCCC)C(NC(=O)CC(O)CCCCCCCCCCC)2))C(O)C(OC(=O)CC(O)CCCCCCCCCCC)3)OP(=O)(O)O)
(R)-1-amino-2-propanol O-2-phosphate	(R)-1-amino-2-propanol O-2-phosphate	false	NULL	NULL	NULL	c	r836	NULL	C[CH](CN)OP(=O)(O)O
(R)-2-hydroxyglutarate	(R)-2-hydroxyglutarate	false	NULL	NULL	NULL	c	r858	"(CAS ""13095-47-1"")"	C(CCC(C(=O)O)O)(=O)O
(R)-2-hydroxyglutaryl-CoA	(R)-2-hydroxyglutaryl-CoA	false	NULL	NULL	NULL	c	r870	NULL	CC(C(O)C(NCCC(NCCSC(C(O)CCC(=O)O)=O)=O)=O)(COP(=O)(OP(OC[CH]3(O[CH](n1(c2(c(nc1)c(ncn2)N)))[CH]([CH]3OP(O)(=O)O)O))(=O)O)O)C
(R)-4-Hydroxymandelate	(R)-4-Hydroxymandelate	false	NULL	NULL	NULL	c	r892	NULL	C(O)(=O)C(c1(ccc(cc1)O))O
(R)-mandelate	(R)-mandelate	false	NULL	NULL	NULL	c	r914	NULL	C(C(c1(ccccc1))O)(O)=O
(S)-3-Amino-2-methylpropanoate	(S)-3-Amino-2-methylpropanoate	false	NULL	NULL	NULL	c	r925	NULL	C(C(C(O)=O)C)N
(S)-3-hydroxybutanoyl-CoA	(S)-3-hydroxybutanoyl-CoA	false	NULL	NULL	NULL	c	r936	"(LIGAND-CPD ""C01144"" NIL |kr| 3346617699 NIL NIL)"	CC(CC(SCCNC(CCNC(C(C(COP(OP(OC[CH]3([CH]([CH]([CH](n2(c1(c(c(ncn1)N)nc2)))O3)O)OP(O)(O)=O))(O)=O)(O)=O)(C)C)O)=O)=O)=O)O
(S)-4-Hydroxymandelate	(S)-4-Hydroxymandelate	false	NULL	NULL	NULL	c	r947	NULL	C(O)(=O)C(c1(ccc(cc1)O))O
(S)-mandelate	(S)-mandelate	false	NULL	NULL	NULL	c	r969	"(CAS ""90-64-2"")"	C(C(c1(ccccc1))O)(O)=O
(S)-ureidoglycolate	(S)-ureidoglycolate	false	NULL	NULL	NULL	c	r981	"(LIGAND-CPD ""C00603"" NIL |kr| 3346617699 NIL NIL)$(CAS ""2017665"")"	C(C(O)=O)(O)NC(=O)N
1-(o-carboxyphenylamino)-1'-deoxyribulose-5'-phosphate	1-(o-carboxyphenylamino)-1'-deoxyribulose-5'-phosphate	false	NULL	NULL	NULL	c	r1003	"(LIGAND-CPD ""C01302"" NIL |kr| 3346617701 NIL NIL)"	C(C(O)C(C(=O)CNc1(ccccc1C(=O)O))O)OP(=O)(O)O
"1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate"	"1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate"	false	NULL	NULL	NULL	c	r1025	NULL	C(=O)(O)C1(O)(C=CC=C[CH](O)1)
"1,3-diphosphateglycerate"	"1,3-diphosphateglycerate"	false	NULL	NULL	NULL	c	r1036	"(LIGAND-CPD ""C00236"" NIL |kr| 3346617699 NIL NIL)$(CAS ""1981-49-3"")"	C(OP(=O)(O)O)(=O)C(O)COP(=O)(O)O
"1,6-kestotetraose"	"1,6-kestotetraose"	false	NULL	NULL	NULL	c	r1047	NULL	C(OC1(CO)(OC(C(O)C1O)CO))C2(OC(C(C(O)2)O)COC3(OC(CO)C(C(O)3)O)(CO))(OC4(C(O)C(O)C(C(CO)O4)O))
