id	name	equation	EC. Number	genes	LB	UB	objective_coefficient	compartment	subsystem	SBO TERM	REPLACEMENT NAME																																																																																																																																																																											
MIRXN_1	2-Dehydro-D-gluconate uptake	2-dehydro-D-gluconate_input => 2-dehydro-D-gluconate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_1																																																																																																																																																																											
MIRXN_98	2-hydroxyethanesulfonate uptake	2-hydroxyethanesulfonate_input => 2-hydroxyethanesulfonate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_98																																																																																																																																																																											
MIRXN_90	3-phenylpropionate uptake	3-phenylpropionate_input => 3-phenylpropionate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_90																																																																																																																																																																											
MIRXN_3	GABA uptake	4-aminobutyrate_input => 4-aminobutyrate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_3																																																																																																																																																																											
MIRXN_5	Acetate uptake	acetate_input => acetate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_5																																																																																																																																																																											
MIRXN_6	Allantoin uptake	allantoin_input => allantoin[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_6																																																																																																																																																																											
MIRXN_2	alpha-ketoglutarate uptake	alpha-ketoglutarate_input => alpha-ketoglutarate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_2																																																																																																																																																																											
MIRXN_7	Ammonia uptake	ammonia_input => ammonia[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_7																																																																																																																																																																											
MIRXN_22	Glucose uptake	beta-D-glucose_input => beta-D-glucose[extracellular]	NULL	NULL	-100	100	NULL	c	Uptake	NULL	MIRXN_22																																																																																																																																																																											
MIRXN_93	Ca2+ uptake	Ca2+_input => Ca2+[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_93																																																																																																																																																																											
MIRXN_68	Chloride uptake	chloride_input => chloride[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_68																																																																																																																																																																											
MIRXN_104	Choline sulfate uptake	choline sulfate_input => choline sulfate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_104																																																																																																																																																																											
MIRXN_9	Choline uptake	choline_input => choline[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_9																																																																																																																																																																											
MIRXN_10	Citrate uptake	citrate_input => citrate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_10																																																																																																																																																																											
MIRXN_12	CO2 uptake	CO2_input => CO2[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_12																																																																																																																																																																											
MIRXN_13	Cobalt uptake	Co2+_input => Co2+[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_13																																																																																																																																																																											
MIRXN_11	Cobalamin uptake	coenzyme B12_input => coenzyme B12[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_11																																																																																																																																																																											
MIRXN_14	Cytosine uptake	cytosine_input => cytosine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_14																																																																																																																																																																											
MIRXN_15	D-alanine uptake	D-alanine_input => D-alanine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_15																																																																																																																																																																											
MIRXN_18	Decanoate uptake	dca_input => dca[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_18																																																																																																																																																																											
MIRXN_16	D-cysteine uptake	D-cysteine_input => D-cysteine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_16																																																																																																																																																																											
MIRXN_29	Dodecanoate uptake	ddca_input => ddca[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_29																																																																																																																																																																											
MIRXN_19	Fructose uptake	D-fructose_input => D-fructose[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_19																																																																																																																																																																											
MIRXN_20	Galactonate uptake	D-galactonate_input => D-galactonate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_20																																																																																																																																																																											
MIRXN_91	D-glucarate uptake	D-glucarate_input => D-glucarate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_91																																																																																																																																																																											
MIRXN_24	D-lactate uptake	D-lactate_input => D-lactate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_24																																																																																																																																																																											
MIRXN_25	D-malate uptake	D-malate_input => D-malate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_25																																																																																																																																																																											
MIRXN_28	D-methionine uptake	D-methionine_input => D-methionine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_28																																																																																																																																																																											
MIRXN_30	D-ribose uptake	D-ribose_input => D-ribose[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_30																																																																																																																																																																											
MIRXN_17	D-serine uptake	D-serine_input => D-serine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_17																																																																																																																																																																											
MIRXN_31	D-xylose uptake	D-xylose_input => D-xylose[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_31																																																																																																																																																																											
MIRXN_97	ethanesulfonate uptake	ethanesulfonate_input => ethanesulfonate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_97																																																																																																																																																																											
MIRXN_32	Fe2+ uptake	Fe2+_input => Fe2+[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_32																																																																																																																																																																											
MIRXN_33	Fumarate uptake	fumarate_input => fumarate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_33																																																																																																																																																																											
MIRXN_21	Gluconate uptake	gluconate_input => gluconate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_21																																																																																																																																																																											
MIRXN_23	D-glyceraldehyde uptake	glyceraldehyde_input => glyceraldehyde[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_23																																																																																																																																																																											
MIRXN_34	Glycerol uptake	glycerol_input => glycerol[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_34																																																																																																																																																																											
MIRXN_37	Uptake of glycine betaine	glycine betaine_input => glycine betaine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_37																																																																																																																																																																											
MIRXN_36	Glycine uptake	glycine_input => glycine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_36																																																																																																																																																																											
MIRXN_38	Glycolate uptake	glycolate_input => glycolate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_38																																																																																																																																																																											
MIRXN_39	H+ uptake	H+_input => H+[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_39																																																																																																																																																																											
MIRXN_40	H2 uptake	H2_input => H2[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_40																																																																																																																																																																											
MIRXN_41	H2O uptake	H2O_input => H2O[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_41																																																																																																																																																																											
MIRXN_8	Bicarbonate uptake	HCO3-_input => HCO3-[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_8																																																																																																																																																																											
MIRXN_42	Hexadecanoate uptake	hdca_input => hdca[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_42																																																																																																																																																																											
MIRXN_92	Hg uptake	Hg0_input => Hg0[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_92																																																																																																																																																																											
MIRXN_69	Homoserine uptake	homoserine_input => homoserine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_69																																																																																																																																																																											
